epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3513,2.67349,5.39637,0,6.17723,4.27025,0,0,0,0,0,0,0,0,2.40379,4.25537,0,5.44078,4.15798,3e-05,3e-05,3e-05
2,16.5523,3.3478,4.915,0,6.07747,4.21615,0,0,0,0,0,0,0,0,2.40308,4.23588,0,5.44078,4.15687,6.6535e-05,6.6535e-05,6.6535e-05
3,22.697,3.02324,4.76418,0,5.59592,4.20129,0,0,0,0,0,0,0,0,2.40269,4.23597,0,5.44216,4.15628,9.911e-05,9.911e-05,9.911e-05
4,28.8809,3.81451,5.49878,0,6.5042,4.30791,0,0,0,0,0,0,0,0,2.40151,4.23367,0,5.44536,4.15427,0.000127725,0.000127725,0.000127725
5,35.047,4.03694,4.81364,0,5.94398,4.24936,0,0,0,0,0,0,0,0,2.40076,4.23264,0,5.44815,4.15286,0.00015238,0.00015238,0.00015238
6,41.1731,2.95916,4.27156,0,5.39628,4.27061,0,0,0,0,0,0,0,0,2.39989,4.23201,0,5.45195,4.15127,0.000173075,0.000173075,0.000173075
7,47.2504,3.24846,4.85675,0,6.04352,4.17508,0,0,0,0,0,0,0,0,2.39989,4.23201,0,5.45195,4.15127,0.00018981,0.00018981,0.00018981
8,53.3983,3.35966,4.48742,0,5.4477,4.20449,0,0,0,0,0,0,0,0,2.39866,4.23207,0,5.45831,4.14909,0.000202585,0.000202585,0.000202585
9,59.8099,3.07367,4.62624,0,5.72141,4.21936,0,0,0,0,0,0,0,0,2.39705,4.23364,0,5.46709,4.14647,0.0002114,0.0002114,0.0002114
10,66.0275,3.20298,4.78015,0,5.74442,4.19045,0,0,0,0,0,0,0,0,2.39705,4.23364,0,5.46709,4.14647,0.000216255,0.000216255,0.000216255
11,72.2254,2.83066,4.15494,0,6.19446,4.24389,0,0,0,0,0,0,0,0,2.39486,4.23741,0,5.47843,4.14349,0.00021715,0.00021715,0.00021715
12,78.5618,3.02891,4.29778,0,6.80613,4.345,0,0,0,0,0,0,0,0,2.39486,4.23741,0,5.47843,4.14349,0.000214085,0.000214085,0.000214085
13,84.6251,2.61225,4.59354,0,6.23896,4.24471,0,0,0,0,0,0,0,0,2.39226,4.24507,0,5.49398,4.14083,0.00020706,0.00020706,0.00020706
14,90.7077,2.8279,4.28269,0,6.14785,4.26173,0,0,0,0,0,0,0,0,2.39226,4.24507,0,5.49398,4.14083,0.000196075,0.000196075,0.000196075
15,96.8206,2.82702,4.77696,0,6.34579,4.25299,0,0,0,0,0,0,0,0,2.38845,4.2597,0,5.51524,4.13884,0.00018113,0.00018113,0.00018113
16,102.865,2.77036,4.27393,0,6.1355,4.19521,0,0,0,0,0,0,0,0,2.38845,4.2597,0,5.51524,4.13884,0.000162225,0.000162225,0.000162225
17,108.923,2.46925,4.1457,0,6.13511,4.27789,0,0,0,0,0,0,0,0,2.38845,4.2597,0,5.51524,4.13884,0.00013936,0.00013936,0.00013936
18,115.022,2.88856,4.48044,0,6.34272,4.21404,0,0,0,0,0,0,0,0,2.38436,4.28948,0,5.54109,4.1386,0.000112535,0.000112535,0.000112535
19,121.951,2.79986,4.58754,0,6.73342,4.25505,0,0,0,0,0,0,0,0,2.38436,4.28948,0,5.54109,4.1386,8.175e-05,8.175e-05,8.175e-05
20,128.692,2.85609,4.33381,0,5.86471,4.21148,0,0,0,0,0,0,0,0,2.38436,4.28948,0,5.54109,4.1386,4.7005e-05,4.7005e-05,4.7005e-05
